DATE,Leader,Manager,RM_Username,Client_Name,Client_ID,Brokerage_Equity,Brokerage_MF
01-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
01-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
01-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
01-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
01-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
01-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
01-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
01-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
01-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
01-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
02-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
02-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
02-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
02-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
02-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
02-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
02-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
02-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
02-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
03-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
03-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
03-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
03-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
03-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
03-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
03-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
03-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
03-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
03-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
03-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
03-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
03-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
03-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
04-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
04-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
04-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
04-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
04-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
04-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
04-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
04-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
04-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
04-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
04-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
04-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
04-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
04-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
04-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
04-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
04-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
04-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
04-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
04-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
05-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
05-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
05-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
05-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
05-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
05-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
05-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
05-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
05-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
05-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
05-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
05-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
05-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
05-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
05-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
05-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
05-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
05-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
05-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
05-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
05-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
05-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
05-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
06-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
06-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
06-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
06-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
06-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
06-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
06-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
06-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
06-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
06-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
06-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
06-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
06-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
06-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
06-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
06-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
06-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
06-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
06-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
09-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
09-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
09-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
09-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
09-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
09-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
09-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
09-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
09-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
09-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
09-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
09-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
09-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
09-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
09-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
09-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
09-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
09-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
09-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
10-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
10-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
10-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
10-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
10-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
10-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
10-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
10-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
10-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
10-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
10-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
10-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
10-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
10-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
10-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
10-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
10-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
10-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
10-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
10-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
11-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
11-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
11-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
11-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
11-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
11-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
11-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
11-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
11-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
11-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
11-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
11-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
11-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
11-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
11-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
11-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
11-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
11-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
11-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
12-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
12-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
12-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
12-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
12-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
12-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
12-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
12-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
12-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
12-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
12-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
12-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
12-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
12-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
12-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
12-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
12-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
12-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
14-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
14-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
14-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
14-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
14-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
14-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
14-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
14-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
14-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
14-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
14-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
14-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
14-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
14-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
14-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
14-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
14-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
14-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
14-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
14-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
15-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
15-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
15-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
15-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
15-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
15-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
15-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
15-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
15-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
15-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
15-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
15-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
15-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
15-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
15-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
15-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
15-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
15-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
16-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
16-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
16-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
16-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
16-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
16-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
16-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
16-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
16-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
16-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
16-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
16-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
16-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
16-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
16-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
16-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
16-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
16-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
16-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
16-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
16-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
16-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
16-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
17-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
17-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
17-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
17-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
17-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
17-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
17-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
17-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
17-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
17-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
17-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
17-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
17-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
17-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
17-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
17-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
17-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
17-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
17-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
17-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
17-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
18-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
18-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
18-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
18-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
18-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
18-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
18-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
18-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
18-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
18-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
18-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
18-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
18-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
18-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
18-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
18-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
18-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
18-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
18-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
18-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
19-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
19-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
19-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
19-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
19-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
19-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
19-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
19-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
19-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
19-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
19-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
19-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
19-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
19-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
19-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
19-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
19-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
19-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
19-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
19-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
19-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
19-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
19-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
19-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
20-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
20-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
20-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
20-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
20-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
20-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
20-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
20-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
20-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
20-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
20-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
20-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
20-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
20-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
20-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
